Genus,Species,Subspecies,Leaf_Width_Low,Leaf_Width_High,Leaf_Width_One_Value,Flower_Stem_Low,Flowe_Stem_High,Flower_Stem_One_Value,Dorsal_Sepal_Low,Dorsal_Sepal_High,Dorsal_Sepal_Width_One_Value,Lip_Width_Low,Lip_Width_High,Lip_Width_One_Value,Lip_Lenght_Low,Lip_Lenght_High,Lip_Length_One_Value,Reference,NAT,NT,Qld,NSW,ACT,Vic,Tas,SA,WA,AUS_W,AUS_L,SA_ALL,References,,,
Arachnorchis,macrostylis,,6,10,,150,250,,3.5,4,,10,11,,11,13,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,magniclavata,,10,15,,300,600,,2,3,,10,12,,12,14,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,magnifica,,15,20,,200,300,,3,4,,16,20,,18,22,,,,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,montana,,8,12,,100,250,,2,3,,7,9,,10,12,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,nivalis,,4,15,,120,200,,3,4,,10,12,,18,25,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,oenochila,,8,12,,200,400,,2,3,,9,11,,12,15,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,orientalis,,10,15,,100,200,,2.5,3.5,,8,12,,18,22,,,EN,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,pallida,,7,8,,150,400,,3,3.5,,5,6,,9,11,,,CR,,,,,,EN,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,paludosa,,5,15,,300,500,,3,5,,8,16,,17,25,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,patersonii,,10,15,,250,350,,2.5,3.5,,7,11,,12,20,,,,,,,,,VU,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,pectinata,,15,20,,350,500,,2,5,,12,18,,18,25,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,phaeoclavia,,5,10,,100,250,,1.5,2,,14,18,,15,17,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,pholcoidea,pholcoidea,6,10,,300,600,,2.5,3,,8,10,,15,20,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,pilotensis,,10,15,,200,300,,3.5,4,,8,11,,15,20,,,,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,plicata,,6,12,,160,350,,1.9,2,2,9,11,,6,7.5,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,procera,,6,10,,350,700,,4,5,,15,20,,22,30,,,,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,pumila,,10,15,,100,150,,2,3,,17,8,,17,8,,,EX,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,radiata,,7,10,,300,450,,2.5,4,,12,15,,12,15,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,reticulata,,5,7,,100,300,,3,4,,6.5,7.5,,8,10.5,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,rhomboidiformis,,15,20,,200,450,,2.5,3.5,,10,11,,14,16,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,rileyi,,6,8,,80,250,,2,3,,18,20,,17,20,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,robinsonii,,8,10,,200,300,,3,4,,7,11,,12,14,,,EN,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,rosella,,5,8,,100,170,,2,3,,8,10,,10,14,,,EN,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,saggicola,,4,8,,150,350,,2,3,,7,9,,13,18,,,CR,,,,,,EN,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,saxatilis,,5,14,,200,350,,2.5,3,,8,11,,14,16,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,septuosa,,7,10,,150,250,,2,2.5,,14,16,,14,16,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,serotina,,5,20,,250,600,,3,6,,10,14,,16,30,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,speciosa,,5,12,,350,600,,2.5,4,,8,16,,20,30,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,splendens,,8,15,,300,800,,3,11,,15,22,,30,35,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,starteorum,,7,10,,200,600,,2,3,,10,12,,19,25,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,stellata,,5,10,,120,300,,1.5,2.5,,7,13,,12,18,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,stricta,,10,15,,150,400,,2,3,,14,16,,15,17,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,subtilis,,4,6,,150,220,,2,2.5,,8,9,,13,15,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,tensa,,10,15,,200,300,,2,3,,NA,NA,,NA,NA,,*No tiene medida de labelo,EN,,,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
